age,annual_income,monthly_expense,chequing_balance,savings_balance,is_home_owner,is_student,occupation,investment_risk_profile,debt_amount,has_credit_card,tfsa_limit,tfsa_invested,fhsa_limit,fhsa_invested,rrsp_limit,rrsp_invested,unregistered_balance,financial_goals,financial_success
24,147696.92,4037.76,2741.41,17635.64,True,True,Unemployed,High,8791.17,True,42000,44115.82,25413.65,13721.33,47943.43,27886.61,26235.87,"['invest_for_retirement', 'buy_a_home']",0.7142857142857143
40,42581.98,1413.29,3420.46,46081.43,False,False,Employed,Low,0.0,False,154000,147428.15,26283.75,16915.48,1541.76,6666.76,75431.65,"['buy_a_home', 'pay_off_debt', 'invest_for_retirement']",0.7142857142857143
37,73300.76,2580.36,10961.02,40912.12,True,False,Retired,High,86698.9,True,133000,87315.38,29518.17,4039.02,8678.18,14249.93,45414.83,['buy_a_home'],0.4857142857142857
58,96409.08,688.47,7251.28,22260.62,True,False,Employed,Medium,55440.49,True,280000,244294.69,15372.15,18434.36,46637.25,14763.9,26021.68,"['pay_off_debt', 'buy_a_home', 'invest_for_retirement']",0.6171428571428571
99,59004.51,2263.13,12160.71,30793.04,False,False,Employed,Low,0.0,True,567000,473077.0,30600.74,24966.16,35077.77,28243.53,77472.05,"['buy_a_home', 'pay_off_debt']",0.8571428571428571
34,100837.18,4548.44,9308.16,8291.86,True,True,Part-Time,Low,94477.19,True,112000,82373.43,26224.06,22690.57,28864.62,21290.09,81906.77,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.6285714285714286
35,149392.25,555.36,14773.05,37485.94,False,False,Employed,Low,0.0,True,119000,35644.07,30488.76,22644.85,45613.73,6963.13,11188.96,"['buy_a_home', 'invest_for_retirement', 'pay_off_debt']",0.8571428571428571
20,51261.7,3525.5,3863.84,15205.84,False,True,Unemployed,High,0.0,True,14000,3892.65,3848.06,39643.24,7443.86,25518.27,89391.73,[],0.37142857142857144
84,149706.23,1772.03,12254.95,47149.01,True,False,Employed,High,0.0,False,462000,120974.15,24602.85,21092.49,36841.86,16998.23,83553.72,"['invest_for_retirement', 'pay_off_debt']",0.8857142857142857
18,75282.76,4281.2,11125.33,8382.25,False,True,Part-Time,Medium,0.0,True,0,0.0,24023.87,26496.96,18534.13,20987.48,60186.93,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.5428571428571428
33,72145.03,1245.72,2502.83,3730.24,True,False,Employed,Medium,0.0,True,105000,1691.9,36175.97,20255.21,45115.69,40322.38,76394.52,"['buy_a_home', 'invest_for_retirement', 'pay_off_debt']",0.9142857142857143
27,88195.21,1304.17,6068.74,28270.27,False,False,Self-Employed,Low,0.0,True,63000,42017.32,36740.62,13724.35,49866.34,22555.82,144.99,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.8285714285714286
65,72163.67,3565.98,690.71,3203.68,True,False,Self-Employed,High,0.0,True,329000,136540.2,22003.72,34888.93,1554.38,14993.48,20450.69,[],0.42857142857142855
38,81093.47,1185.45,2565.94,31178.1,False,False,Unemployed,Medium,2288.75,True,140000,135450.84,9355.0,1316.23,4149.53,30653.83,32851.06,['buy_a_home'],0.6857142857142857
23,45192.37,3726.54,12563.77,34650.07,True,True,Part-Time,Medium,0.0,True,35000,4879.36,30046.82,31886.05,14142.67,26441.64,74523.61,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.3142857142857143
33,39664.49,2787.29,9751.58,32134.99,True,True,Part-Time,High,0.0,True,105000,12967.43,3574.78,37537.18,27726.11,6265.81,51151.68,"['invest_for_retirement', 'buy_a_home']",0.56
39,71644.42,4351.35,8220.89,7936.7,True,False,Retired,Low,0.0,True,147000,81532.48,9569.73,20159.36,4461.72,32828.15,45276.58,[],0.5142857142857142
45,33260.42,1892.72,13379.61,20550.62,True,False,Retired,Low,70064.19,True,189000,12894.16,7737.54,37258.37,38106.61,4157.8,64988.82,['buy_a_home'],0.42857142857142855
46,144852.53,1977.56,19565.08,34177.87,False,False,Self-Employed,Low,0.0,True,196000,78195.29,7255.21,7642.3,39887.34,23196.8,2080.95,"['pay_off_debt', 'buy_a_home']",0.7714285714285715
38,51947.39,1706.53,16171.49,6632.31,False,False,Retired,High,65512.02,True,140000,136347.91,39109.89,14218.54,40151.32,34720.59,2005.39,['invest_for_retirement'],0.6285714285714286
43,91437.12,2821.37,14229.58,1784.52,True,False,Unemployed,Medium,59327.01,False,175000,172708.71,11445.64,1801.32,15760.42,6133.97,57946.6,"['buy_a_home', 'pay_off_debt']",0.8
32,139395.81,4636.61,1093.53,23568.35,True,False,Self-Employed,Low,0.0,False,98000,105123.15,16520.19,11006.28,23810.46,29834.38,48277.02,['pay_off_debt'],0.6
25,109336.69,4369.26,3436.05,22675.97,True,True,Part-Time,Medium,54007.88,False,49000,29528.09,30401.37,20965.99,41287.68,22483.55,82384.2,"['buy_a_home', 'invest_for_retirement']",0.6571428571428571
40,86576.21,4776.54,5633.23,37232.99,False,False,Self-Employed,Low,0.0,True,154000,85677.63,8912.32,2113.03,2112.03,7040.15,76201.9,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.6857142857142857
38,68612.92,1355.75,5549.13,15689.15,True,False,Self-Employed,Medium,24981.29,False,140000,98392.43,26699.02,32449.96,47600.42,12319.53,25996.97,"['pay_off_debt', 'buy_a_home', 'invest_for_retirement']",0.6457142857142857
71,98455.61,1860.21,12147.94,30121.22,True,False,Unemployed,Medium,96738.2,True,371000,352558.75,32991.73,16211.54,17404.61,19620.67,33981.65,['pay_off_debt'],0.6
33,107154.48,1254.44,19528.07,31553.95,False,False,Employed,Low,76767.85,True,105000,63215.83,26775.41,34228.81,888.27,24233.82,50234.41,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.5142857142857142
51,62867.05,2001.7,9147.25,46452.25,True,False,Employed,Low,86700.97,True,231000,129672.85,32536.12,8208.32,16912.84,32193.88,40298.7,[],0.4857142857142857
34,63000.7,2477.28,8663.0,5236.51,True,False,Retired,High,35900.6,True,112000,6640.34,13946.45,4950.45,7466.17,39846.97,93160.78,"['buy_a_home', 'invest_for_retirement']",0.6
26,111338.19,4491.49,1448.79,5074.49,False,True,Unemployed,Medium,0.0,True,56000,43010.42,36499.9,6302.07,42166.38,43166.08,9341.8,['invest_for_retirement'],0.6285714285714286
59,80490.23,3329.76,8780.05,8389.95,True,False,Employed,High,0.0,True,287000,99982.29,24418.26,6126.28,41896.57,2263.9,62053.92,"['invest_for_retirement', 'buy_a_home']",0.8571428571428571
33,139117.06,571.46,14943.82,41292.12,True,False,Unemployed,Low,0.0,True,105000,95466.34,16314.33,22713.62,4144.08,12532.71,94707.49,"['invest_for_retirement', 'pay_off_debt']",0.5714285714285714
77,39675.68,1353.69,8223.09,41456.74,True,False,Employed,Low,0.0,True,413000,303412.0,29556.54,19144.86,1122.63,35214.39,23196.99,['pay_off_debt'],0.7142857142857143
59,85565.16,1367.74,1936.38,31265.42,False,False,Self-Employed,High,0.0,True,287000,126618.76,21125.51,26546.05,20704.02,26176.27,85111.49,[],0.6285714285714286
70,48458.35,852.3,18882.62,40928.86,False,False,Unemployed,High,61659.4,True,364000,237850.05,27070.02,11998.57,13841.07,2611.79,36989.83,"['buy_a_home', 'invest_for_retirement']",0.6
19,112539.19,3979.72,17957.01,17748.84,False,True,Part-Time,Medium,0.0,True,7000,3377.8,19057.85,9098.74,39513.56,19344.72,93356.4,"['pay_off_debt', 'buy_a_home', 'invest_for_retirement']",0.7428571428571429
28,93233.49,2347.39,17018.73,8609.88,False,False,Unemployed,Medium,0.0,True,70000,66287.44,17566.1,36766.29,29324.2,39070.82,24234.35,"['invest_for_retirement', 'buy_a_home']",0.6571428571428571
18,125840.46,2385.59,15266.21,33998.74,False,True,Unemployed,Low,0.0,True,0,0.0,5364.93,38122.55,45497.3,6079.18,81148.1,"['pay_off_debt', 'buy_a_home']",0.7428571428571429
65,48672.93,1262.63,15748.14,26268.92,False,False,Retired,Low,0.0,True,329000,47041.75,29075.13,38858.74,27705.62,29109.47,77898.64,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.5714285714285714
75,45511.24,4500.9,563.78,42801.26,True,False,Employed,Low,87893.98,True,399000,218714.69,5434.35,35960.36,6135.08,14514.5,27713.63,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.3142857142857143
26,97051.81,981.0,6520.55,41654.05,False,True,Unemployed,High,0.0,True,56000,49289.44,15487.31,39623.56,18348.51,6616.69,52365.5,"['pay_off_debt', 'invest_for_retirement']",0.6742857142857143
80,77435.39,992.38,1865.28,19806.76,False,False,Employed,Medium,0.0,True,434000,268321.31,24298.92,20256.47,25915.69,38045.38,55455.97,[],0.7714285714285715
26,143677.29,4380.35,7958.43,4995.05,True,True,Unemployed,Medium,0.0,True,56000,57560.58,33419.31,25157.43,12921.35,37791.93,32886.61,['pay_off_debt'],0.5142857142857142
37,67731.13,2020.01,10705.04,3359.37,False,False,Employed,High,60527.85,True,133000,116952.42,21567.1,5498.52,23278.18,34884.66,41600.13,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.5714285714285714
21,78970.77,4424.88,4798.11,14737.13,False,True,Part-Time,High,10570.28,True,21000,5141.16,5984.66,32948.68,18945.49,1379.58,38834.66,"['pay_off_debt', 'buy_a_home', 'invest_for_retirement']",0.5142857142857142
25,111681.91,4378.09,16063.82,29663.39,False,False,Unemployed,Medium,0.0,True,49000,26635.22,11125.97,29374.64,45027.79,29522.68,78348.11,"['invest_for_retirement', 'pay_off_debt']",0.6571428571428571
46,147562.91,1245.45,16050.05,300.89,True,False,Self-Employed,High,51176.36,True,196000,1848.11,38803.34,3773.92,40175.79,9539.68,84954.9,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.7885714285714286
43,117039.15,2461.6,15722.51,9888.38,False,False,Retired,High,0.0,True,175000,25553.19,1479.06,28101.01,21071.57,43268.02,92514.02,['pay_off_debt'],0.6571428571428571
35,39906.19,935.08,17043.55,47116.67,False,False,Employed,Low,0.0,True,119000,60415.2,18204.08,169.02,36694.33,873.84,88693.74,['pay_off_debt'],0.8571428571428571
60,90621.75,4812.5,19945.7,6881.04,True,False,Retired,Low,0.0,True,294000,97745.25,16163.1,5522.97,920.31,21372.23,66942.24,"['buy_a_home', 'pay_off_debt']",0.7142857142857143
77,52092.77,3140.73,15605.98,39404.76,False,False,Retired,High,0.0,True,413000,155488.94,22854.94,10859.69,14102.79,47509.93,55089.91,['buy_a_home'],0.5714285714285714
93,84224.2,4143.25,13760.45,21455.65,True,False,Employed,Low,0.0,True,525000,465572.55,28757.39,37803.06,23809.58,30257.36,21475.91,[],0.6
89,73206.18,3889.4,17774.32,27285.44,True,False,Unemployed,Medium,0.0,True,497000,313971.73,18.2,39379.66,43522.34,27922.14,18441.99,"['pay_off_debt', 'buy_a_home']",0.7428571428571429
45,31939.87,4531.72,15202.37,2647.39,False,False,Retired,High,75528.14,True,189000,172773.9,8517.96,39441.91,44781.54,6511.61,96857.1,[],0.37142857142857144
33,116187.52,1678.21,9776.43,49456.99,True,True,Part-Time,High,45460.91,True,105000,106792.14,10440.79,38737.06,34215.81,16170.54,56227.26,['invest_for_retirement'],0.4857142857142857
55,131462.23,3760.02,18482.07,5002.37,True,False,Self-Employed,High,30355.77,True,259000,237051.0,6100.42,33120.78,38040.65,40234.75,42694.91,['buy_a_home'],0.6571428571428571
21,137555.97,4803.16,4721.05,22196.68,True,True,Unemployed,Low,14714.47,True,21000,24865.58,34237.0,4266.4,31076.68,44142.96,62689.79,"['buy_a_home', 'pay_off_debt']",0.6
24,42088.73,2506.42,15868.52,36355.42,True,True,Unemployed,High,14558.82,True,42000,19032.48,5804.17,5048.12,13699.52,39979.19,88434.29,"['pay_off_debt', 'buy_a_home']",0.37142857142857144
42,100480.75,3601.11,10738.09,28359.67,True,False,Retired,High,81948.86,True,168000,395.42,28461.21,26029.3,49666.15,45266.92,51639.79,"['buy_a_home', 'pay_off_debt']",0.7714285714285715
20,126693.21,1855.58,208.72,18105.71,True,True,Unemployed,Low,26079.66,True,14000,5906.24,8694.95,5818.22,29882.51,20274.22,35644.65,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.8571428571428571
68,106974.13,1359.54,6803.3,44550.6,True,False,Self-Employed,Low,0.0,False,350000,28922.64,8396.86,26619.59,2154.65,41164.34,1506.76,"['pay_off_debt', 'buy_a_home']",0.6285714285714286
59,122919.72,3738.9,5329.7,7107.7,True,False,Retired,High,0.0,True,287000,111577.88,33000.35,11746.42,29208.12,33118.43,55386.55,"['buy_a_home', 'pay_off_debt', 'invest_for_retirement']",0.7714285714285715
55,57791.73,4838.19,19825.86,3404.9,False,False,Employed,High,18984.78,True,259000,210718.73,12692.93,35207.5,24209.31,9892.58,38525.78,[],0.5714285714285714
55,56036.37,4034.63,8958.99,22221.5,False,False,Self-Employed,Medium,0.0,True,259000,188577.3,13401.83,8913.04,27798.16,25945.05,68668.21,[],0.8285714285714286
58,51184.86,1799.84,13498.22,34987.73,False,False,Retired,Low,41679.25,True,280000,202696.48,24577.64,7040.94,8692.57,13753.69,18388.92,"['pay_off_debt', 'buy_a_home']",0.4857142857142857
46,92298.96,4506.11,13046.89,29468.23,True,False,Retired,High,0.0,True,196000,121265.52,31327.57,12168.37,15480.64,3189.65,96375.54,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.8457142857142858
46,100677.52,3466.37,19857.43,19737.41,True,False,Unemployed,Medium,83371.1,True,196000,222959.47,15019.21,13851.54,37740.2,19034.22,99219.38,['invest_for_retirement'],0.5714285714285714
99,134398.53,4789.06,8881.1,30806.44,False,False,Retired,Low,0.0,False,567000,395815.45,9231.53,13473.0,6831.82,36722.61,16310.52,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.6571428571428571
33,82195.2,2073.29,3388.6,11932.91,False,False,Employed,Low,3640.0,True,105000,95296.21,11372.63,32456.29,34110.3,28641.77,11507.23,['invest_for_retirement'],0.8
31,147294.51,2823.05,10220.55,2100.82,False,False,Unemployed,Medium,0.0,True,91000,3496.67,15141.3,34884.36,47000.19,28635.7,72018.6,[],0.7714285714285715
25,95887.9,4767.7,7932.3,17395.95,False,True,Part-Time,Medium,0.0,False,49000,25946.56,4311.47,5614.12,18109.82,27753.3,74627.2,['pay_off_debt'],0.42857142857142855
85,140993.66,4307.96,3870.54,8820.71,True,False,Retired,Medium,15793.92,True,469000,486507.34,254.01,38950.53,31721.17,8867.49,61944.04,"['buy_a_home', 'invest_for_retirement', 'pay_off_debt']",0.4742857142857143
27,144770.61,3540.42,7471.51,46903.45,True,True,Part-Time,Low,0.0,True,63000,34283.7,38687.97,3461.44,49749.53,3282.79,93518.92,"['buy_a_home', 'pay_off_debt']",0.8
21,93994.58,3234.65,10803.66,28236.35,True,True,Part-Time,High,0.0,True,21000,19252.53,38991.66,23667.54,24497.37,38582.72,18101.55,[],0.6571428571428571
62,141691.27,4542.88,15975.56,48163.09,False,False,Retired,Medium,0.0,True,308000,218995.62,24952.9,16014.28,45140.69,48580.12,14758.07,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.7142857142857143
40,85061.17,3350.69,15874.45,19691.97,True,False,Unemployed,High,40386.68,True,154000,138215.69,16851.05,16084.83,18294.37,38984.75,51034.23,"['pay_off_debt', 'buy_a_home']",0.7142857142857143
21,38966.91,1722.83,16370.73,7480.74,True,True,Unemployed,High,8016.17,True,21000,2950.53,16515.28,11174.64,10217.32,742.02,40883.64,"['buy_a_home', 'pay_off_debt', 'invest_for_retirement']",0.6
70,134871.81,1976.92,13481.85,6389.39,True,False,Self-Employed,High,0.0,False,364000,25150.77,18376.8,35036.32,28289.34,33952.86,92592.91,[],0.7142857142857143
93,72075.64,2724.42,3774.94,20209.42,False,False,Self-Employed,Medium,81034.98,True,525000,38432.17,37411.21,8391.3,19117.59,26153.85,20948.02,['buy_a_home'],0.5142857142857142
50,145147.79,4354.88,4122.75,44217.29,True,False,Unemployed,High,37050.4,True,224000,207340.47,1179.91,20538.28,32409.38,4989.71,98652.39,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.6571428571428571
22,57622.38,3870.4,6697.57,7195.76,True,True,Unemployed,Low,33966.87,True,28000,22304.36,1304.35,30735.67,40074.06,24107.84,31179.62,"['invest_for_retirement', 'pay_off_debt']",0.45714285714285713
29,147854.32,2535.97,3216.44,18581.6,True,False,Retired,High,58611.96,True,77000,91120.31,37874.24,4020.99,11926.75,38178.9,73284.47,"['invest_for_retirement', 'buy_a_home', 'pay_off_debt']",0.6
26,31074.36,977.24,6138.82,49326.91,True,True,Part-Time,High,0.0,True,56000,11963.99,23264.89,38631.94,41336.25,15702.72,28341.03,['invest_for_retirement'],0.6171428571428571
71,88934.38,4375.89,19230.43,42366.2,True,False,Self-Employed,High,88852.03,True,371000,19128.14,18703.75,26278.6,3899.33,5140.95,41559.46,"['invest_for_retirement', 'pay_off_debt']",0.34285714285714286
70,34987.04,4189.45,15081.46,12995.56,False,False,Unemployed,High,17768.7,True,364000,411253.12,11834.51,26339.77,16654.76,45372.59,37690.65,['buy_a_home'],0.2571428571428571
58,134126.71,3612.68,13797.84,45516.67,True,False,Retired,Low,51123.26,True,280000,271273.09,1343.72,1372.45,19550.23,9820.56,68025.62,['buy_a_home'],0.6285714285714286
30,102306.29,4786.54,8715.56,9588.42,True,True,Unemployed,High,83605.96,True,84000,45805.22,11225.62,7601.98,19846.33,3453.31,51955.27,"['pay_off_debt', 'invest_for_retirement', 'buy_a_home']",0.5714285714285714
86,91674.89,4449.22,8933.85,2086.14,False,False,Self-Employed,High,0.0,False,476000,273600.76,28053.49,4250.96,29423.4,8177.76,68986.28,[],0.7714285714285715
47,50541.99,3914.97,15909.79,30211.26,True,False,Retired,Low,98345.96,True,203000,194717.38,3701.38,17087.67,44918.9,5476.93,42585.77,[],0.45714285714285713
33,93731.5,4360.23,18496.67,14031.88,False,True,Part-Time,Medium,83523.37,True,105000,96629.17,11598.9,18952.69,825.88,46536.65,17526.78,['pay_off_debt'],0.42857142857142855
45,100594.04,3730.06,19386.46,48889.37,False,False,Employed,Medium,0.0,True,189000,219523.06,38858.07,4548.55,22061.1,4831.14,46557.92,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.56
30,47413.18,1149.43,14888.34,37340.95,False,False,Self-Employed,Low,0.0,True,84000,26402.47,24190.17,32954.97,36116.96,15932.27,35199.24,"['pay_off_debt', 'buy_a_home']",0.7714285714285715
26,45216.11,668.94,15822.17,30395.2,True,True,Unemployed,Low,47432.44,True,56000,58716.44,23056.9,15070.08,46316.74,33896.15,59738.61,"['buy_a_home', 'invest_for_retirement', 'pay_off_debt']",0.5142857142857142
32,120083.41,2020.03,10541.57,10497.85,False,False,Employed,Low,89189.17,True,98000,115567.52,17784.05,34893.51,9817.35,790.52,49395.56,[],0.5714285714285714
29,111495.64,3317.94,14814.27,10768.96,False,False,Retired,Low,0.0,True,77000,72922.13,12015.25,28297.95,31160.84,14905.73,99455.19,['buy_a_home'],0.6857142857142857
59,112605.53,1558.75,6274.0,19404.01,True,False,Employed,High,42350.34,True,287000,174256.78,33831.05,32303.63,41733.08,27334.01,95905.73,['invest_for_retirement'],0.8285714285714286
34,126605.78,1499.99,12584.4,4413.6,False,False,Unemployed,High,55777.94,True,112000,88265.8,39019.9,17984.9,39767.73,49301.95,61601.2,['pay_off_debt'],0.7142857142857143
67,137958.97,2969.48,15635.3,27335.79,True,False,Employed,Medium,0.0,False,343000,57969.14,9743.39,34215.68,21147.19,11130.22,16430.97,"['invest_for_retirement', 'pay_off_debt', 'buy_a_home']",0.7428571428571429
27,60422.45,2490.8,6223.64,2230.37,False,False,Self-Employed,High,0.0,True,63000,67991.44,10707.79,28691.78,48053.03,35557.33,96190.07,['pay_off_debt'],0.6
64,80527.46,2218.38,14385.9,46196.0,True,False,Retired,High,0.0,False,322000,184080.12,6329.37,24722.59,41275.31,30139.0,71416.42,[],0.7142857142857143
82,91728.65,4249.65,9278.84,45256.6,False,False,Self-Employed,Medium,34001.74,True,448000,254306.03,17673.55,12090.27,22922.82,14079.06,54729.01,[],0.7142857142857143
40,69654.56,4021.68,14105.31,37887.63,True,False,Self-Employed,Medium,64907.48,True,154000,136696.19,39270.31,32234.3,40387.46,27711.89,59902.64,['pay_off_debt'],0.6285714285714286
56,139430.7,4882.73,8590.31,18742.49,True,False,Self-Employed,Medium,15520.23,True,266000,293173.81,38592.31,464.63,7274.42,12162.5,1562.76,[],0.6
28,145676.92,917.85,7235.6,44600.69,False,False,Retired,Low,0.0,False,70000,21917.05,31580.21,4526.97,20445.19,11117.52,19881.86,"['pay_off_debt', 'invest_for_retirement']",0.8857142857142857
98,133031.92,3092.69,7986.93,11334.65,False,False,Employed,Low,0.0,True,560000,433386.15,4887.0,15576.97,12404.55,47193.32,11105.83,[],0.7142857142857143
26,81440.89,1230.47,5610.08,33962.65,True,True,Unemployed,Low,46632.8,True,56000,27171.5,15914.62,39909.91,34169.94,43729.36,41408.2,[],0.45714285714285713
36,40458.66,2373.82,3086.52,20777.46,True,False,Unemployed,High,0.0,True,126000,40627.14,3545.94,33945.9,44149.71,43119.46,35270.9,[],0.6857142857142857
34,120827.48,4218.02,8915.28,8441.89,True,False,Unemployed,Low,27152.98,True,112000,63155.85,36956.34,19147.21,4880.23,19600.73,21015.34,['pay_off_debt'],0.7714285714285715
21,84383.18,2119.38,4342.15,13110.01,True,True,Part-Time,Low,0.0,True,21000,12156.68,2502.27,15249.16,29646.4,25168.4,67209.44,"['buy_a_home', 'invest_for_retirement', 'pay_off_debt']",0.6571428571428571
25,103578.02,1842.84,19291.96,25291.49,False,True,Unemployed,Medium,71158.67,True,49000,14387.43,35669.68,30752.68,714.39,23403.79,307.36,"['pay_off_debt', 'invest_for_retirement']",0.6571428571428571
30,120009.57,2169.83,18819.51,33952.7,False,False,Retired,Medium,90195.86,True,84000,83538.36,16182.02,33594.56,18898.96,9266.13,77292.57,"['invest_for_retirement', 'pay_off_debt']",0.5142857142857142
